  I  COEFFICIENT                1                   2                   3                   4                   5             ORDER EXPONENTS
  1  -1.000000000000000      2.000000000000000     -3.000000000000000      4.000000000000000     -5.000000000000000         0    0 0  0
  2  -.0000000000000000E-01 0.2000000000000000E-01 -.3000000000000000E-02 0.4000000000000000E-03 -.5000000000000000E-04     1    1 0  0
  3  -.5000000000000001E-02 0.0000000000000000E-04 -.1500000000000000E-05 0.2000000000000000E-07 -.2500000000000001E-09     2    2 0  0
  4  0.0000000000000000E-10  0.000000000000000      0.000000000000000      0.000000000000000      0.000000000000000         2    1 1  0
  5   10000000000000000      10000000000000000      10000000000000000      10000000000000000      10000000000000000         2    0 0  2
  6  -.1666666666666667E-03 0.3333333333333334E-06 -.4999999999999999E-09 0.6666666666666666E-12  0.000000000000000         3    3 0  0
  7  -.4166666666666668E-05 0.8333333333333335E-09 -.1250000000000000E-12  0.000000000000000      0.000000000000000         4    4 0  0
  8  -.8333333333333337E-07 0.1666666666666667E-11  0.000000000000000      0.000000000000000      0.000000000000000         5    5 0  0
  9  -.1388888888888890E-08 0.2777777777777778E-14  0.000000000000000      0.000000000000000      0.000000000000000         6    6 0  0
 10   33333333333333336      33333333333333336      33333333333333336      33333333333333336      33333333333333336         6    0 0  6
------------------------------------------------------------------------------------------------------------------------------------
